test_id,weight,k,l1,l2,tukey,tukey_lambda,seed,kmeans,accuracy
431,uniform,1,10,0,True,1,300,100,86.58
432,uniform,1,10,0,True,1,400,100,86.68
433,uniform,1,10,0.5,True,1,200,10,86.65
434,uniform,1,10,0.5,True,1,300,10,87.05000000000001
435,uniform,1,10,0.5,True,1,400,10,86.63000000000001
436,uniform,1,10,0.5,True,1,200,25,86.87
437,uniform,1,10,0.5,True,1,300,25,86.6
438,uniform,1,10,0.5,True,1,400,25,86.61000000000001
439,uniform,1,10,0.5,True,1,200,50,86.51
440,uniform,1,10,0.5,True,1,300,50,86.69
441,uniform,1,10,0.5,True,1,400,50,86.75
442,uniform,1,10,0.5,True,1,200,100,86.9
443,uniform,1,10,0.5,True,1,300,100,86.58
444,uniform,1,10,0.5,True,1,400,100,86.68
445,uniform,1,10,1,True,1,200,10,86.65
446,uniform,1,10,1,True,1,300,10,87.05000000000001
447,uniform,1,10,1,True,1,400,10,86.63000000000001
448,uniform,1,10,1,True,1,200,25,86.87
449,uniform,1,10,1,True,1,300,25,86.6
450,uniform,1,10,1,True,1,400,25,86.61000000000001
451,uniform,1,10,1,True,1,200,50,86.51
452,uniform,1,10,1,True,1,300,50,86.69
453,uniform,1,10,1,True,1,400,50,86.75
454,uniform,1,10,1,True,1,200,100,86.9
455,uniform,1,10,1,True,1,300,100,86.58
456,uniform,1,10,1,True,1,400,100,86.68
457,uniform,1,10,2,True,1,200,10,86.65
458,uniform,1,10,2,True,1,300,10,87.05000000000001
459,uniform,1,10,2,True,1,400,10,86.63000000000001
460,uniform,1,10,2,True,1,200,25,86.88
461,uniform,1,10,2,True,1,300,25,86.6
462,uniform,1,10,2,True,1,400,25,86.61000000000001
463,uniform,1,10,2,True,1,200,50,86.51
464,uniform,1,10,2,True,1,300,50,86.69
465,uniform,1,10,2,True,1,400,50,86.75
466,uniform,1,10,2,True,1,200,100,86.9
467,uniform,1,10,2,True,1,300,100,86.58
468,uniform,1,10,2,True,1,400,100,86.68
469,uniform,1,10,2.5,True,1,200,10,86.65
470,uniform,1,10,2.5,True,1,300,10,87.05000000000001
471,uniform,1,10,2.5,True,1,400,10,86.63000000000001
472,uniform,1,10,2.5,True,1,200,25,86.88
473,uniform,1,10,2.5,True,1,300,25,86.6
474,uniform,1,10,2.5,True,1,400,25,86.61000000000001
475,uniform,1,10,2.5,True,1,200,50,86.51
476,uniform,1,10,2.5,True,1,300,50,86.69
477,uniform,1,10,2.5,True,1,400,50,86.75
478,uniform,1,10,2.5,True,1,200,100,86.9
479,uniform,1,10,2.5,True,1,300,100,86.58
480,uniform,1,10,2.5,True,1,400,100,86.68
481,uniform,1,10,5,True,1,200,10,86.65
482,uniform,1,10,5,True,1,300,10,87.05000000000001
483,uniform,1,10,5,True,1,400,10,86.63000000000001
484,uniform,1,10,5,True,1,200,25,86.88
485,uniform,1,10,5,True,1,300,25,86.59
486,uniform,1,10,5,True,1,400,25,86.61000000000001
487,uniform,1,10,5,True,1,200,50,86.51
488,uniform,1,10,5,True,1,300,50,86.69
489,uniform,1,10,5,True,1,400,50,86.75
490,uniform,1,10,5,True,1,200,100,86.91000000000001
491,uniform,1,10,5,True,1,300,100,86.58
492,uniform,1,10,5,True,1,400,100,86.66
493,uniform,1,10,10,True,1,200,10,86.7
494,uniform,1,10,10,True,1,300,10,87.02000000000001
495,uniform,1,10,10,True,1,400,10,86.65
496,uniform,1,10,10,True,1,200,25,86.83000000000001
497,uniform,1,10,10,True,1,300,25,86.58
498,uniform,1,10,10,True,1,400,25,86.62
499,uniform,1,10,10,True,1,200,50,86.51
500,uniform,1,10,10,True,1,300,50,86.65
501,uniform,1,10,10,True,1,400,50,86.73
502,uniform,1,10,10,True,1,200,100,86.9
503,uniform,1,10,10,True,1,300,100,86.55000000000001
504,uniform,1,10,10,True,1,400,100,86.69
505,uniform,3,0.5,0,True,1,200,10,85.26
506,uniform,3,0.5,0,True,1,300,10,85.06
507,uniform,3,0.5,0,True,1,400,10,85.32000000000001
508,uniform,3,0.5,0,True,1,200,25,85.54
509,uniform,3,0.5,0,True,1,300,25,85.51
510,uniform,3,0.5,0,True,1,400,25,85.55
511,uniform,3,0.5,0,True,1,200,50,85.46000000000001
512,uniform,3,0.5,0,True,1,300,50,85.54
513,uniform,3,0.5,0,True,1,400,50,85.56
514,uniform,3,0.5,0,True,1,200,100,85.57000000000001
515,uniform,3,0.5,0,True,1,300,100,85.34
516,uniform,3,0.5,0,True,1,400,100,85.78
517,uniform,3,0.5,0.5,True,1,200,10,85.21000000000001
518,uniform,3,0.5,0.5,True,1,300,10,85.14
519,uniform,3,0.5,0.5,True,1,400,10,85.23
520,uniform,3,0.5,0.5,True,1,200,25,85.42
521,uniform,3,0.5,0.5,True,1,300,25,85.51
522,uniform,3,0.5,0.5,True,1,400,25,85.51
523,uniform,3,0.5,0.5,True,1,200,50,85.43
524,uniform,3,0.5,0.5,True,1,300,50,85.53
